[2025-10-16 15:58:31,055: INFO: main: Welcome to our custom logging]
[2025-10-16 21:47:05,337: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 21:47:05,343: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 21:47:05,344: INFO: common: created directory at: artifacts]
[2025-10-16 21:47:05,347: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:21:38,219: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:21:38,221: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:21:38,222: INFO: common: created directory at: artifacts]
[2025-10-16 22:21:38,224: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:21:38,224: INFO: 3319420277: file already exists of size: ~ 7704 KB]
[2025-10-16 22:24:40,308: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:24:40,310: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:24:40,312: INFO: common: created directory at: artifacts]
[2025-10-16 22:24:40,313: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:28:31,508: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:28:31,509: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:28:31,509: INFO: common: created directory at: artifacts]
[2025-10-16 22:28:31,514: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:28:31,514: INFO: 3319420277: file already exists of size: ~ 4672 KB]
[2025-10-16 22:29:06,275: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:29:06,277: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:29:06,278: INFO: common: created directory at: artifacts]
[2025-10-16 22:29:06,280: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:30:38,613: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:30:38,618: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:30:38,621: INFO: common: created directory at: artifacts]
[2025-10-16 22:30:38,624: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:30:38,628: INFO: 3319420277: file already exists of size: ~ 1968 KB]
[2025-10-16 22:30:48,164: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:30:48,165: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:30:48,165: INFO: common: created directory at: artifacts]
[2025-10-16 22:30:48,172: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:33:41,221: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:33:41,224: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:33:41,228: INFO: common: created directory at: artifacts]
[2025-10-16 22:33:41,230: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 22:53:38,424: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-10-16 22:53:38,427: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 22:53:38,430: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 22:53:38,431: INFO: common: created directory at: artifacts]
[2025-10-16 22:53:38,432: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 23:07:48,108: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 23:07:48,111: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 23:07:48,112: INFO: common: created directory at: artifacts]
[2025-10-16 23:07:48,115: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 23:14:36,457: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 23:14:36,458: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 23:14:36,462: INFO: common: created directory at: artifacts]
[2025-10-16 23:14:36,462: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 23:14:36,462: INFO: 3319420277: file already exists of size: ~ 7024 KB]
[2025-10-16 23:15:27,356: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 23:15:27,358: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-16 23:15:27,361: INFO: common: created directory at: artifacts]
[2025-10-16 23:15:27,364: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-16 23:15:27,365: INFO: 3319420277: file already exists of size: ~ 7718 KB]
[2025-10-16 23:15:39,757: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-16 23:15:39,758: INFO: common: yaml file: params.yaml loaded successfully]
